Copyright 1986-2022 Xilinx, Inc. All Rights Reserved. Copyright 2022-2024 Advanced Micro Devices, Inc. All Rights Reserved.
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2024.1 (lin64) Build 5076996 Wed May 22 18:36:09 MDT 2024
| Date         : Thu Oct  3 16:03:44 2024
| Host         : binhkieudo-ASUS running 64-bit Ubuntu 20.04.6 LTS
| Command      : report_high_fanout_nets -file /home/binhkieudo/Workspace/tmp/HCMUSTProject/framework/generated-src/framework.fpga.arty100t.Arty100TDDRHarness.Arty100TRocketConfig/obj/report/fanout.txt -timing -load_types -max_nets 25
| Design       : Arty100TDDRHarness
| Device       : xc7a100t
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Fanout Summary
-----------------

+-------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+-----------------+-----------------+-----------------------------+-----------------------------+-----------------------------+-----------------------------+
|                                                                                                                                           |        |             |                 |                 |         Clock Enable        |          Set/Reset          |         Data & Other        |            Clock            |
+-------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+-----------------+-----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+
| Net Name                                                                                                                                  | Fanout | Driver Type | Worst Slack(ns) | Worst Delay(ns) | Slice | IO | BRAM/DSP/OTHER | Slice | IO | BRAM/DSP/OTHER | Slice | IO | BRAM/DSP/OTHER | Slice | IO | BRAM/DSP/OTHER |
+-------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+-----------------+-----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+
| chiptop0/system/prci_ctrl_domain/resetSynchronizer/x1_member_allClocks_uncore_reset_catcher/io_sync_reset_chain/output_chain/sync_0_reg_7 |   1964 | LUT1        |           4.487 |          11.438 |     0 |  0 |              0 |  1952 | 11 |              0 |     1 |  0 |              0 |     0 |  0 |              0 |
| chiptop0/system/subsystem_cbus/coupler_to_bootrom/fragmenter/repeater/saved_address_reg[12]_0[1]                                          |    784 | MUXF7       |           5.984 |           4.318 |     0 |  0 |              0 |     0 |  0 |              0 |   784 |  0 |              0 |     0 |  0 |              0 |
| chiptop0/system/subsystem_cbus/coupler_to_bootrom/fragmenter/repeater/saved_address_reg[12]_0[2]                                          |    784 | MUXF7       |           5.626 |           4.013 |     0 |  0 |              0 |     0 |  0 |              0 |   784 |  0 |              0 |     0 |  0 |              0 |
| chiptop0/system/prci_ctrl_domain/resetSynchronizer/x1_member_allClocks_uncore_reset_catcher/io_sync_reset_chain/output_chain/sync_0_reg_2 |    421 | LUT2        |           9.624 |           4.782 |     0 |  0 |              0 |   421 |  0 |              0 |     0 |  0 |              0 |     0 |  0 |              0 |
| chiptop0/system/subsystem_cbus/coupler_to_debug/fragmenter/repeater/saved_address_reg[6]_0                                                |    383 | LUT3        |           5.433 |           3.354 |     0 |  0 |              0 |     0 |  0 |              0 |   383 |  0 |              0 |     0 |  0 |              0 |
| chiptop0/system/subsystem_cbus/coupler_to_debug/fragmenter/repeater/full_reg_rep__3_1                                                     |    370 | LUT6        |           5.492 |           3.267 |     0 |  0 |              0 |     0 |  0 |              0 |   370 |  0 |              0 |     0 |  0 |              0 |
| chiptop0/system/tile_prci_domain/tile_reset_domain_tile/fpuOpt/load_wb_tag[0]                                                             |    296 | FDRE        |           7.324 |           5.710 |     0 |  0 |              0 |     0 |  0 |              0 |   296 |  0 |              0 |     0 |  0 |              0 |
| chiptop0/system/tile_prci_domain/tile_reset_domain_tile/fpuOpt/load_wb_tag[1]                                                             |    296 | FDRE        |           7.924 |           5.794 |     0 |  0 |              0 |     0 |  0 |              0 |   296 |  0 |              0 |     0 |  0 |              0 |
| chiptop0/system/tile_prci_domain/tile_reset_domain_tile/fpuOpt/W1_en0                                                                     |    248 | FDRE        |           8.839 |           4.743 |     0 |  0 |              0 |     0 |  0 |              0 |   248 |  0 |              0 |     0 |  0 |              0 |
